declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
2156,4,MS,Mississippi                   ,0,2002-12-23T00:00:00.000Z,Major Disaster,MS-Severe Storms and Tornado,Tornado,2002-12-18T00:00:00.000Z,2002-12-19T00:00:00.000Z,Turndown,2003-02-14T00:00:00.000Z,0,0,1,1,2002122001,2002-12-19T00:00:00.000Z,e5ab3a81-e83e-4c73-9416-69c07dfdd4a1
3002,10,ID,Idaho                         ,0,2000-02-18T00:00:00.000Z,Emergency,ID-ROCKSLIDES-02-11-2000,Mud/Landslide,2000-01-30T00:00:00.000Z,2000-02-11T00:00:00.000Z,Turndown,2000-03-17T00:00:00.000Z,0,0,0,0,2000021103,2000-01-30T00:00:00.000Z,e9e887f1-db57-458f-b450-29996c7d61fa
3013,1,RI,Rhode Island                  ,0,2003-02-24T00:00:00.000Z,Major Disaster,RI Nightclub Fire,Fire,2003-02-20T00:00:00.000Z,,Turndown,2003-04-23T00:00:00.000Z,1,0,1,0,2003022102,2003-02-20T00:00:00.000Z,bc69e1f7-5b39-4b35-9cb7-fc227c27fcae
3028,4,FL,Florida                       ,0,2003-03-20T00:00:00.000Z,Major Disaster,FL - Sustained severe freeze events,Freezing,2002-11-01T00:00:00.000Z,2003-02-28T00:00:00.000Z,Turndown,2003-04-28T00:00:00.000Z,0,0,0,1,2003032101,2002-11-01T00:00:00.000Z,3cd5225d-1980-423a-87ab-b197e1c10177
3031,1,NH,New Hampshire                 ,0,2003-04-09T00:00:00.000Z,Major Disaster,Mt. Washington Structural Fire,Other,2003-02-09T00:00:00.000Z,2003-02-09T00:00:00.000Z,Turndown,2003-06-20T00:00:00.000Z,0,0,1,0,2003021902,2003-02-09T00:00:00.000Z,24a8f570-3bd1-4cd8-8339-23ebfafe9131
3034,9,CA,California                    ,0,2003-04-16T00:00:00.000Z,Emergency,CA - Severe Fire Threat,Drought,2002-03-01T00:00:00.000Z,,Turndown,2003-12-22T00:00:00.000Z,0,0,1,0,2003042301,2003-04-16T00:00:00.000Z,8dacae90-ec6c-403e-b201-f9c55d2c94f6
3051,5,MI,Michigan                      ,0,2003-06-04T00:00:00.000Z,Major Disaster,MI-Dam Failure 05/14/2003,Dam/Levee Break,0003-05-10T00:00:00.000Z,2003-05-26T00:00:00.000Z,Turndown,2003-09-24T00:00:00.000Z,0,0,1,1,2003051501,2003-05-14T00:00:00.000Z,ae1b183e-6b36-4ff5-b2be-44eba295208e
3057,9,AZ,Arizona                       ,0,2003-06-12T00:00:00.000Z,Emergency,AZ-Wildfire-05-27-2003,Fire,2002-04-01T00:00:00.000Z,,Turndown,2002-01-08T00:00:00.000Z,0,0,1,0,2003052801,2003-05-27T00:00:00.000Z,8a213140-1e9f-424e-a931-8b04642d07b0
3062,4,MS,Mississippi                   ,0,2003-06-12T00:00:00.000Z,Major Disaster,MS Flooding and Damaging Winds,Severe Storm,2003-05-17T00:00:00.000Z,,Turndown,2003-08-28T00:00:00.000Z,0,0,1,1,2003063002,2003-05-17T00:00:00.000Z,fe8d344a-53f7-437d-95d1-0e305dca9d8c
3064,6,LA,Louisiana                     ,0,2003-07-09T00:00:00.000Z,Major Disaster,TS  Bill,Severe Storm,2003-06-30T00:00:00.000Z,,Turndown,2003-09-12T00:00:00.000Z,1,0,1,1,2003063003,2003-06-29T00:00:00.000Z,57b370d8-d873-4a71-93be-f2a0e277c7ed
3089,4,FL,Florida                       ,0,2003-08-13T00:00:00.000Z,Major Disaster,FL-Severe Storms and Tornadoes,Tornado,2003-08-07T00:00:00.000Z,2003-08-08T00:00:00.000Z,Turndown,2003-08-29T00:00:00.000Z,1,0,0,1,2003081301,2003-08-07T00:00:00.000Z,80e8062c-9fea-43ca-ab5b-773137944fda
3102,4,KY,Kentucky                      ,0,2003-08-29T00:00:00.000Z,Major Disaster,KY - Severe Storms and flooding,Severe Storm,2003-08-22T00:00:00.000Z,2003-08-22T00:00:00.000Z,Turndown,2003-10-07T00:00:00.000Z,1,0,0,1,2003082802,2003-08-22T00:00:00.000Z,38df6e8b-b5ae-4aae-bab9-f9a47eda6a8f
3118,2,NJ,New Jersey                    ,0,2003-10-03T00:00:00.000Z,Major Disaster,Hurricane Isabel,Hurricane,2003-09-18T00:00:00.000Z,,Turndown,2003-11-06T00:00:00.000Z,0,0,1,1,2003091101,2003-09-18T00:00:00.000Z,c0254c6a-5d33-4fa6-8b5a-4fa5c5a0882e
